/		CG-6 Survey																					
/		Survey Name:	ENDUT_11																				
/		Instrument Serial Number:	21010311																				
/		Created:	08/04/2021 00:53																				
/																							
/		CG-6 Calibration																					
/		Operator:	ROBBY																				
/		Gcal1 [mGal]:	8178.449																				
/		Goff [ADU]:	-8388608																				
/		Gref [mGal]:	0																				
/		X Scale [arc-sec/ADU]:	0.030973																				
/		Y Scale [arc-sec/ADU]:	0.031031																				
/		X Offset [ADU]:	-273519																				
/		Y Offset [ADU]:	-173957																				
/		Temperature Coefficient [mGal/mK]:	-0.132																				
/		Temperature Scale [mK/ADU]:	-0.000111																				
/		Drift Rate [mGal/day]:	-0.12113																				
/		Drift Zero Time:	01/01/1970 00:00																				
/		Firmware Version:	CG6_2_20190125																				
/																							
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
GE193	08/04/2021	04:56:58	4333.6973	0	0.041	0.0053	2065.218	-3.4	3.7	1.4437	0.1027	0.0003	0.1913	2268.1849	60	0	-6.614494	106.351662	1109	-6.614604	106.351814	1163.5	11011
GE193	08/04/2021	04:57:58	4333.6961	0	0.0338	0.0044	2065.218	-2.5	1.9	1.4493	0.102	0.0001	0.191	2268.185	60	0	-6.614494	106.351662	1109	-6.614599	106.351791	1165.6	11011
GE193	08/04/2021	04:58:58	4333.6954	0	0.0348	0.0045	2065.2182	-2.8	0.9	1.4475	0.1012	0.0001	0.1907	2268.1851	60	0	-6.614494	106.351662	1109	-6.614576	106.351776	1166.6	11011
GE193	08/04/2021	04:59:58	4333.6946	0	0.0197	0.0025	2065.2182	-3.4	1.9	1.4355	0.1005	0.0002	0.1905	2268.1852	60	0	-6.614494	106.351662	1109	-6.614567	106.351776	1167.3	11011
GE193	08/04/2021	05:00:58	4333.6932	0	0.0303	0.0039	2065.2179	-3.6	0.9	1.443	0.0997	0.0002	0.1901	2268.1853	60	0	-6.614494	106.351662	1109	-6.614563	106.351776	1167.2	11011
GE195	08/04/2021	05:30:41	4364.9101	0	0.0402	0.0052	2096.4574	-6.6	-3.1	1.4305	0.0757	0.0006	0.1886	2268.1878	60	0	-6.615024	106.346237	1040.1	-6.615053	106.346352	1037.7	11011
GE195	08/04/2021	05:31:41	4364.9006	0	0.0379	0.0049	2096.4475	-9.7	-9	1.4304	0.0748	0.0022	0.1883	2268.1879	60	0	-6.615024	106.346237	1040.1	-6.615059	106.34639	1038.1	11011
GE195	08/04/2021	05:32:41	4364.8935	0	0.0329	0.0042	2096.4392	-10.9	-15.1	1.424	0.074	0.0041	0.1883	2268.1879	60	0	-6.615024	106.346237	1040.1	-6.615064	106.346397	1038.3	11011
GE195	08/04/2021	05:33:41	4364.8863	0	0.0318	0.0041	2096.4309	-11.3	-20.5	1.4162	0.0731	0.0061	0.1882	2268.188	60	0	-6.615024	106.346237	1040.1	-6.615059	106.34639	1038.1	11011
GE195	08/04/2021	05:34:41	4364.8799	0	0.0315	0.0041	2096.4232	-13.5	-23.4	1.424	0.0722	0.0086	0.1878	2268.1881	60	0	-6.615024	106.346237	1040.1	-6.615046	106.346352	1038.5	11011
